/srv/defectDetectionDataset/multiclassClassification/noisy/missing_part/chart_Missing_end.png, missing_part, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/missing_part/chart.png, missing_part, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/missing_part/20250603-143314_20.jpg, missing_part, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/bend/20250521-104913_0.jpg, bend, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/bend/20250630-155746_0.jpg, bend, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/black_stain/20250506-160553_1.jpg, black_stain, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/black_stain/20250506-160552_0.jpg, black_stain, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/corrosion/20250521-124121_8.jpg, corrosion, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/corrosion/20250521-124111_3.jpg, corrosion, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/crack/20250523-071527_4.jpg, crack, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/other/20250521-115946_0.jpg, other, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250521-101604_6.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250603-141834_5.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101047_61.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-101127_99.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-110951_4.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250616-100945_1.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250505-151505_2.jpg, no_deficiencies, removed, empty or too bad quality
/srv/defectDetectionDataset/multiclassClassification/noisy/no_deficiencies/20250630-160850_8.jpg, no_deficiencies, removed, empty or too bad quality
